Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,77.570000,77.620003,75.250000,75.430000,72.338844,21053000
2016-12-02,75.400002,76.250000,75.169998,75.720001,72.616974,13629600
2016-12-05,76.629997,77.599998,76.550003,77.309998,74.141792,12119200
2016-12-06,77.940002,77.970001,76.709999,77.110001,73.949982,13896600
2016-12-07,77.269997,79.489998,77.250000,79.309998,76.059830,13919800
2016-12-08,79.680000,79.870003,78.970001,79.279999,76.031036,13320100
2016-12-09,79.150002,79.930000,78.830002,79.139999,75.896790,10728300
2016-12-12,78.989998,79.029999,77.919998,78.500000,75.283028,11942300
2016-12-13,78.809998,79.500000,78.250000,79.199997,75.954323,12995100
2016-12-14,79.279999,79.980003,79.120003,79.129997,75.887192,20146200
2016-12-15,79.370003,80.389999,79.129997,79.500000,76.242043,14070900
2016-12-16,79.220001,79.459999,78.169998,78.349998,75.139175,19141700
2016-12-19,78.040001,78.599998,78.019997,78.099998,74.899429,8699100
2016-12-20,78.410004,78.580002,77.690002,78.360001,75.148773,6917400
2016-12-21,78.480003,78.550003,77.980003,78.139999,74.937775,9343600
2016-12-22,78.019997,78.059998,77.190002,77.900002,74.707626,12074000
2016-12-23,78.080002,78.480003,77.900002,78.150002,74.947357,6192900
2016-12-27,78.269997,78.849998,78.230003,78.349998,75.139175,3776000
2016-12-28,78.400002,78.650002,77.970001,78.300003,75.091217,7587100
2016-12-29,78.489998,78.839996,78.300003,78.330002,75.119987,6241100
2016-12-30,78.430000,78.540001,77.940002,78.019997,74.822678,7127300
2017-01-03,78.760002,79.910004,78.489998,79.500000,76.242043,13785200
2017-01-04,79.440002,80.260002,79.360001,80.150002,76.865410,8033100
2017-01-05,80.339996,81.529999,80.220001,81.089996,77.766899,7805100
2017-01-06,81.300003,82.489998,80.940002,82.209999,78.840981,8898300
2017-01-09,82.279999,82.449997,81.650002,81.750000,78.399834,7305300
2017-01-10,81.699997,81.900002,81.129997,81.309998,77.977852,6017500
2017-01-11,81.250000,81.800003,80.910004,81.800003,78.447800,7499200
2017-01-12,81.050003,81.470001,80.510002,81.370003,78.035393,6884000
2017-01-13,81.019997,81.849998,80.790001,81.169998,77.843597,7291200
2017-01-17,80.760002,81.489998,80.760002,81.260002,77.929909,6326500
2017-01-18,81.269997,81.830002,80.980003,81.589996,78.246391,8512300
2017-01-19,81.790001,81.849998,81.410004,81.730003,78.380646,6479400
2017-01-20,82.089996,82.279999,81.610001,81.839996,78.486137,9048500
2017-01-23,81.699997,82.300003,81.500000,82.150002,78.783440,7414200
2017-01-24,82.400002,83.489998,81.849998,83.230003,79.819191,8397500
2017-01-25,83.790001,84.269997,83.449997,83.900002,80.461723,9360900
2017-01-26,83.919998,83.919998,83.080002,83.239998,79.828773,8428200
2017-01-27,83.320000,83.800003,82.919998,83.769997,80.337051,5445900
2017-01-30,83.470001,83.739998,82.660004,83.699997,80.269920,8792800
2017-01-31,82.129997,83.279999,82.099998,82.709999,79.320503,7479400
2017-02-01,82.900002,83.089996,82.050003,82.440002,79.061562,7534400
2017-02-02,82.139999,82.699997,81.570000,82.300003,78.927307,11142300
2017-02-03,85.739998,86.820000,85.110001,86.080002,82.552383,28079600
2017-02-06,86.070000,86.099998,85.510002,85.830002,82.312622,9665300
2017-02-07,85.959999,86.349998,85.669998,85.779999,82.264679,8600300
2017-02-08,85.800003,85.839996,85.080002,85.089996,81.602951,7587700
2017-02-09,85.370003,85.769997,84.879997,85.580002,82.072884,6554700
2017-02-10,85.800003,86.139999,85.230003,85.900002,82.379784,10432000
2017-02-13,86.199997,86.699997,86.000000,86.440002,82.897636,6046300
2017-02-14,86.519997,86.970001,86.260002,86.849998,83.290825,5952000
2017-02-15,87.019997,87.540001,86.699997,87.540001,84.112358,8049700
2017-02-16,87.550003,87.680000,86.790001,87.410004,83.987457,8680600
2017-02-17,87.269997,87.680000,86.980003,87.459999,84.035507,5887200
2017-02-21,87.510002,88.040001,87.169998,87.919998,84.477486,9301300
2017-02-22,87.610001,88.150002,87.510002,87.800003,84.362175,8389900
2017-02-23,88.230003,88.489998,87.870003,88.180000,84.727287,6040500
2017-02-24,87.360001,88.430000,87.300003,88.430000,84.967506,5151300
2017-02-27,88.320000,88.379997,87.910004,88.000000,84.554344,6131600
2017-02-28,88.160004,88.379997,87.760002,87.940002,84.496689,8521900
2017-03-01,88.739998,89.139999,88.419998,88.989998,85.505577,11131400
2017-03-02,89.000000,89.129997,88.099998,88.529999,85.063606,10544200
2017-03-03,88.309998,88.910004,88.180000,88.790001,85.313400,5700600
2017-03-06,88.529999,89.269997,88.269997,88.940002,85.457520,7347600
2017-03-07,88.989998,89.300003,88.849998,89.059998,85.572838,5688400
2017-03-08,89.169998,89.300003,88.870003,88.959999,85.476753,5866800
2017-03-09,89.019997,89.500000,88.709999,89.110001,85.620880,5953900
2017-03-10,89.500000,89.860001,89.099998,89.730003,86.216599,12246700
2017-03-13,89.800003,90.309998,89.610001,90.110001,86.581734,8944100
2017-03-14,89.930000,90.029999,89.239998,89.550003,86.043640,6009400
2017-03-15,89.750000,90.099998,89.410004,89.919998,86.399170,6350700
2017-03-16,90.309998,90.330002,89.470001,90.040001,86.514473,9174400
2017-03-17,90.250000,90.629997,90.169998,90.239998,86.706635,8613400
2017-03-20,90.290001,92.050003,88.970001,89.180000,85.688141,9438000
2017-03-21,89.489998,89.709999,88.000000,88.059998,84.612000,11092100
2017-03-22,87.849998,89.040001,87.849998,88.519997,85.053993,7828600
2017-03-23,88.470001,89.389999,88.419998,88.860001,85.380669,7710700
2017-03-24,89.059998,89.610001,88.970001,89.190002,85.697754,7597600
2017-03-27,88.309998,88.989998,88.070000,88.949997,85.467140,5230000
2017-03-28,89.120003,89.419998,88.489998,89.120003,85.630501,7045500
2017-03-29,88.989998,89.389999,88.559998,89.180000,85.688141,4738000
2017-03-30,89.080002,89.099998,88.599998,89.010002,85.524803,6227100
2017-03-31,88.980003,89.349998,88.870003,88.870003,85.390274,6429800
2017-04-03,89.139999,89.459999,88.400002,89.360001,85.861092,9125800
2017-04-04,89.010002,89.330002,88.660004,88.779999,85.303818,4859900
2017-04-05,89.129997,90.199997,88.949997,89.029999,85.543999,7251600
2017-04-06,89.000000,89.260002,88.779999,89.089996,85.601662,8473900
2017-04-07,88.970001,89.239998,88.519997,88.739998,85.265350,5439500
2017-04-10,88.620003,89.250000,88.519997,88.860001,85.380669,5999400
2017-04-11,88.599998,88.849998,88.129997,88.849998,85.371071,7058500
2017-04-12,88.699997,89.209999,88.559998,88.680000,85.207718,5912500
2017-04-13,88.470001,89.779999,88.430000,88.870003,85.390274,7242700
2017-04-17,89.089996,89.900002,88.750000,89.809998,86.293465,6122800
2017-04-18,89.639999,89.919998,89.239998,89.730003,86.216599,6823500
2017-04-19,90.089996,90.620003,89.599998,89.750000,86.235825,7301300
2017-04-20,90.139999,91.500000,89.900002,91.150002,87.581001,12178300
2017-04-21,92.769997,92.800003,91.019997,91.150002,87.581001,19442600
2017-04-24,92.150002,92.500000,91.010002,91.849998,88.253601,11705400
2017-04-25,91.989998,92.349998,91.580002,92.110001,88.503418,7769200
2017-04-26,92.019997,92.480003,91.750000,91.820000,88.224770,11295200
2017-04-27,91.949997,92.000000,91.279999,91.599998,88.013374,5856800
2017-04-28,91.389999,91.550003,90.980003,91.220001,87.648285,6888500
2017-05-01,91.290001,91.669998,91.139999,91.260002,87.686691,9042100
2017-05-02,91.620003,92.750000,91.529999,92.540001,88.916588,11627700
2017-05-03,92.400002,92.550003,91.980003,92.440002,88.820503,4909000
2017-05-04,92.699997,92.849998,92.250000,92.620003,88.993439,5257000
2017-05-05,92.900002,92.980003,91.760002,92.089996,88.484184,8844500
2017-05-08,92.050003,92.160004,91.519997,91.919998,88.320831,5223600
2017-05-09,91.900002,92.139999,91.830002,92.000000,88.397720,3969500
2017-05-10,91.699997,92.410004,91.680000,92.250000,88.637932,6747600
2017-05-11,92.120003,92.309998,91.620003,92.099998,88.493790,7052200
2017-05-12,92.190002,92.779999,91.980003,92.730003,89.099152,5898800
2017-05-15,92.730003,93.419998,92.720001,93.230003,89.579567,7040100
2017-05-16,93.349998,93.720001,92.970001,93.150002,89.502693,5497400
2017-05-17,92.480003,92.760002,91.709999,91.760002,88.323593,8240200
2017-05-18,91.360001,92.480003,91.360001,91.709999,88.275436,8239800
